article_id,company_id,mention_context,mention_prominence,coverage_angle,sentiment
art_001,company_001,Portfolio highlight,Primary,Performance update,Positive
art_001,company_003,Sector comparison,Secondary,Market analysis,Neutral
art_002,company_002,Success story,Primary,Growth story,Positive
art_003,company_004,Renewable leader,Primary,Sector focus,Positive
art_004,company_005,Recent acquisition,Primary,M&A news,Positive
art_005,company_006,Infrastructure asset,Secondary,Portfolio review,Neutral
art_006,company_007,European expansion,Primary,Geographic growth,Positive
art_007,company_008,Solar portfolio,Primary,Sector spotlight,Positive
art_008,company_009,LP holding,Secondary,Portfolio context,Neutral
art_009,company_010,Digital asset,Primary,Technology focus,Positive
art_010,company_011,Quarterly performer,Primary,Earnings highlight,Mixed
art_011,company_012,Executive interview,Secondary,Management view,Positive
art_012,company_013,Market opinion,Tertiary,Valuation debate,Critical
art_013,company_014,Logistics leader,Primary,Sector analysis,Positive
art_014,company_015,Airport asset,Secondary,Transport focus,Neutral
art_015,company_016,Annual review,Primary,Year-end feature,Positive
art_016,company_017,Board discussion,Secondary,Governance update,Neutral
art_017,company_018,ESG champion,Primary,Sustainability focus,Positive
art_018,company_019,Breaking news,Primary,Corporate update,Neutral
art_019,company_020,Deal completion,Primary,Transaction close,Positive
art_020,company_001,Strategic review,Secondary,Portfolio strategy,Positive
art_021,company_002,Market analysis,Secondary,Sector trends,Mixed
art_022,company_003,Opinion piece,Tertiary,Market view,Neutral
art_023,company_004,Digital transformation,Primary,Innovation story,Positive
art_024,company_005,Case study,Primary,Success analysis,Positive
art_025,company_006,Performance data,Secondary,Returns analysis,Neutral
art_026,company_007,Asia expansion,Primary,Geographic growth,Positive
art_027,company_008,ESG metrics,Primary,Impact report,Positive
art_028,company_009,Weekly mention,Tertiary,News roundup,Neutral
art_029,company_010,Energy transition,Primary,Sector shift,Positive
art_030,company_011,Team update,Secondary,Management news,Neutral
art_002,company_012,Competitor analysis,Secondary,Market position,Mixed
art_004,company_013,Supply chain,Secondary,Operations focus,Neutral
art_006,company_014,Expansion plans,Primary,Growth strategy,Positive
art_008,company_015,Asset performance,Secondary,Operations update,Positive
art_010,company_016,Benchmark comparison,Secondary,Peer analysis,Neutral
art_012,company_017,Controversy,Primary,Critical coverage,Negative
art_014,company_018,Innovation leader,Primary,Technology adoption,Positive
art_016,company_019,Financial results,Primary,Earnings report,Mixed
art_018,company_020,Market leader,Secondary,Competitive position,Positive
art_020,company_002,Value creation,Primary,Investment thesis,Positive