transaction_id,sector_id,primary_sector,secondary_sector,investment_thesis,sector_confidence
2024-I2573-2880,sector_003,true,false,Digital transformation play,High
2024-I2573-2880,sector_008,false,true,Technology overlay,Medium
2024-I3048-2904,sector_001,true,false,Energy transition core,High
2024-I3048-2904,sector_002,false,true,Grid infrastructure,Medium
2024-I2981-2789,sector_002,true,false,Renewable generation,High
2024-I3214-2901,sector_008,true,false,Data infrastructure,High
2024-I3214-2901,sector_003,false,true,Connectivity enabler,Medium
2024-I2765-2856,sector_004,true,false,Core transport,High
2024-I3089-2934,sector_010,true,false,Storage solution,High
2024-I3089-2934,sector_001,false,true,Grid stability,Medium
2024-I2812-2745,sector_003,true,false,Digital backbone,High
2024-I3156-2867,sector_005,true,false,Social infrastructure,High
2024-I2901-2812,sector_002,true,false,Clean power,High
2024-I3234-2923,sector_006,true,false,Water infrastructure,High
2024-I2678-2790,sector_004,true,false,Transport corridor,High
2024-I2678-2790,sector_007,false,true,Economic development,Low
2024-I3078-2845,sector_003,true,false,Fiber network,High
2024-I2945-2756,sector_001,true,false,Offshore wind,High
2024-I3167-2889,sector_009,true,false,Waste management,High
2024-I3167-2889,sector_011,false,true,Circular economy,Medium
2024-I2723-2801,sector_002,true,false,Solar portfolio,High
2024-I3201-2912,sector_008,true,false,Edge computing,High
2024-I2856-2834,sector_004,true,false,Rail infrastructure,High
2024-I3145-2878,sector_001,true,false,Wind portfolio,High
2024-I2593-2801,sector_003,true,false,Tower infrastructure,High
2024-I3102-2934,sector_005,true,false,Healthcare facilities,High
2024-I2889-2856,sector_010,true,false,Battery storage,High
2024-I3267-2967,sector_002,true,false,Distributed generation,High
2024-I2734-2823,sector_004,true,false,Airport infrastructure,High
2024-I3089-2890,sector_006,true,false,Utility networks,High
2024-I2945-2867,sector_001,true,false,Renewable platform,High
2024-I3312-2978,sector_008,true,false,Cloud infrastructure,High
2024-I2651-2812,sector_009,true,false,Environmental services,High
2024-I3198-2945,sector_003,true,false,Subsea cables,High
2024-I2812-2878,sector_002,true,false,Grid-scale solar,High
2024-I3089-2912,sector_010,true,false,Grid batteries,High
2024-I2573-2834,sector_004,true,false,Port infrastructure,High
2024-I2945-2901,sector_001,true,false,Onshore wind,High
2024-I2945-2901,sector_002,false,true,Power generation,High
2024-I3267-2989,sector_003,true,false,Data center,High
2024-I2812-2845,sector_005,true,false,Education facilities,High
2024-I3156-2912,sector_006,true,false,Water treatment,High
2024-I2901-2867,sector_001,true,false,Hybrid renewables,High
2024-I3234-2956,sector_007,true,false,Mixed-use development,High
2024-I2678-2823,sector_008,true,false,Smart infrastructure,High
2024-I3078-2890,sector_009,true,false,Recycling facilities,High
2024-I2945-2834,sector_010,true,false,Energy storage,High
2024-I3167-2945,sector_004,true,false,Logistics infrastructure,High