article_id,person_id,share_date,share_platform,share_context,engagement_level
art_001,per_001,2025-11-14,LinkedIn,Industry news update,High
art_001,per_008,2025-11-15,Email,Team newsletter,Medium
art_002,per_002,2025-11-10,LinkedIn,Company announcement,High
art_002,per_006,2025-11-11,Twitter,Market commentary,High
art_002,per_009,2025-11-12,Email,LP update,Medium
art_003,per_008,2025-11-07,LinkedIn,Fund announcement,High
art_003,per_004,2025-11-08,Internal,Team briefing,Medium
art_004,per_006,2025-11-03,LinkedIn,Deal announcement,High
art_004,per_010,2025-11-04,Email,Portfolio update,Medium
art_005,per_003,2025-10-28,LinkedIn,Fund launch,High
art_005,per_011,2025-10-29,Twitter,Market update,Medium
art_006,per_004,2025-10-25,LinkedIn,Company news,High
art_007,per_007,2025-10-22,Email,Industry update,Medium
art_008,per_013,2025-10-18,LinkedIn,LP insights,High
art_009,per_005,2025-10-15,LinkedIn,Digital infrastructure,High
art_010,per_010,2025-10-10,Email,Market report,High
art_010,per_014,2025-10-11,Internal,Investment committee,Medium
art_011,per_015,2025-10-08,LinkedIn,Executive interview,High
art_012,per_012,2025-10-05,Twitter,Opinion piece,Medium
art_013,per_011,2025-10-03,LinkedIn,Market analysis,High
art_014,per_016,2025-09-30,Email,Quarterly update,Medium
art_015,per_017,2025-09-27,LinkedIn,Feature article,High
art_016,per_002,2025-09-25,Email,Board update,High
art_017,per_018,2025-09-22,LinkedIn,Sustainability focus,Medium
art_018,per_019,2025-09-20,Twitter,Breaking news,High
art_019,per_020,2025-09-18,LinkedIn,Deal closing,Medium
art_020,per_003,2025-09-15,Email,Executive interview,High
art_021,per_021,2025-09-12,LinkedIn,Market analysis,Medium
art_022,per_022,2025-09-10,Internal,Strategy discussion,Low
art_023,per_007,2025-09-07,LinkedIn,Digital assets,High
art_024,per_023,2025-09-05,Email,Feature highlight,Medium
art_025,per_024,2025-09-02,LinkedIn,Quarterly report,High
art_026,per_009,2025-08-30,Twitter,Asia update,Medium
art_027,per_025,2025-08-28,LinkedIn,ESG analysis,High
art_028,per_026,2025-08-25,Email,Weekly digest,Medium
art_029,per_027,2025-08-22,LinkedIn,Energy transition,High
art_030,per_028,2025-08-20,Internal,Team update,Low
art_002,per_029,2025-11-11,LinkedIn,Industry news,Medium
art_005,per_030,2025-10-29,Email,Fund alert,Medium
art_010,per_031,2025-10-11,LinkedIn,Market trends,High
art_015,per_032,2025-09-28,Twitter,Long read,Low
art_020,per_033,2025-09-16,Email,Interview highlight,Medium
art_025,per_034,2025-09-03,LinkedIn,Data insights,High